Gia,Dien tich,Gia/m²,Chieu ngang,Chieu dai,Huong dat,Loai hinh dat,Quan,Cluster
3.15,-0.4567739326382712,-0.1951017513029882,-0.5196994721195185,-0.0381981256818012,-0.6780118088139132,-1.0411563100877543,0.0110570287692022,0
2.5,-0.8420253495486886,-0.1891202305356982,-0.0826298714765872,-1.643004578361259,-0.4088891282182459,0.960470575177818,2.672244422405577,0
2.1,0.0018587065407971,-0.7812907864974142,-0.8693551526338634,2.903947037563871,1.2109365405134302,0.960470575177818,-0.6013886103555152,0
5.9,1.744662735421257,-0.3817251992424381,1.6656485310951377,0.4967373585446846,1.3926706101530224,0.960470575177818,0.2658253453181701,1
3.5,-0.676917599444224,0.1346794270002706,-0.5196994721195185,-0.7068674809649087,1.2109365405134302,0.960470575177818,0.2658253453181701,0
3.95,-0.4567739326382712,0.1239126896191483,-0.5196994721195185,-0.0381981256818012,-0.6780118088139132,0.960470575177818,-0.6013886103555152,0
4.5,0.7173256236601439,-0.3570015800709725,0.7915093298092752,0.4967373585446846,-0.6780118088139132,-1.0411563100877543,-0.6013886103555152,0
3.25,-0.7319535161457122,0.0736679151739119,-0.5196994721195185,-0.8406013520215301,-0.9295166428186308,0.960470575177818,0.2658253453181701,0
2.6,-0.4567739326382712,-0.4144241794369571,-0.5196994721195185,-0.0381981256818012,1.243988053376593,-1.0411563100877543,0.2658253453181701,0
3.5,-0.6952629050113868,0.1530227573532932,-0.5196994721195185,-0.8406013520215301,1.2109365405134302,-1.0411563100877543,0.2658253453181701,0
3.85,-0.5118098493397594,0.131489282591049,-0.5196994721195185,-0.1719319967384227,-0.6780118088139132,0.960470575177818,-0.6013886103555152,0
1.35,0.4604913457198655,-1.0923298663964975,-0.5196994721195185,2.636479295450628,1.3926706101530224,-1.0411563100877543,-1.7926052806737234,0
2.2,-0.8053347384143632,-0.3681670855032473,-0.738234272440984,-0.5731336099082872,-0.9295166428186308,0.960470575177818,0.2658253453181701,0
3.75,-0.4567739326382712,0.0441590793886142,-0.5196994721195185,-0.0381981256818012,1.2109365405134302,-1.0411563100877543,0.2658253453181701,0
4.6,1.09340438778698,-0.4570923609102929,1.447113730773672,-0.0381981256818012,1.2109365405134302,-1.0411563100877543,-0.6013886103555152,0
2.1,-0.4200833215039457,-0.6301576951105521,-0.5196994721195185,-0.0381981256818012,-0.4088891282182459,-1.0411563100877543,-0.6013886103555152,0
11.5,-0.4567739326382712,3.134611475821813,-0.5196994721195185,-0.0381981256818012,1.2109365405134302,0.960470575177818,0.0110570287692022,1
1.7,1.2493394851078632,-1.0999064593683985,0.7915093298092752,1.2991405848844135,-0.4088891282182459,0.960470575177818,-1.7926052806737234,0
2.85,-0.9154065718173396,0.0640974819462477,-0.5196994721195185,-0.8406013520215301,1.3926706101530224,0.960470575177818,-0.6013886103555152,0
3.05,-0.6402269883098985,-0.0997961870774998,-0.5196994721195185,-0.5731336099082872,-0.4088891282182459,-1.0411563100877543,-0.6013886103555152,0
2.65,-0.4567739326382712,-0.3944857768793236,-0.5196994721195185,-0.0381981256818012,-0.4088891282182459,-1.0411563100877543,-0.6013886103555152,0
23.0,1.5612096797496295,2.9160865837901486,1.6656485310951377,0.2292696164314416,-0.4088891282182459,-1.0411563100877543,2.672244422405577,2
5.2,-0.1815943491308301,0.352008014878476,-0.5196994721195185,0.7642051006579276,-1.0545428474095684,0.960470575177818,0.2658253453181701,0
13.0,1.6529362075854432,0.960129292886299,1.6656485310951377,0.3630034874880631,1.297310003812206,0.960470575177818,0.2658253453181701,1
5.3,-0.0898678212950165,0.3101373695074457,-0.5196994721195185,1.0316728427711706,-0.6780118088139132,0.960470575177818,0.2658253453181701,0
