Gia,Dien tich,Dia chi,Duong vao,Chieu ngang,Huong nha,Loai hinh dat
8.4 Tỷ,140 m²,"Phường Khuê Mỹ, Quận Ngũ Hành Sơn",Đường vào: Rộng 10.5m,Mặt tiền: 7m,Hướng: Đông,Đất nền dự án
2.45 Tỷ,171 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 7.5m,Mặt tiền: 7m,Hướng: Đông bắc,Đất nền dự án
5.3 Tỷ,300 m²,"Phường Hòa Quý, Quận Ngũ Hành Sơn",Đường vào: Rộng 7.5m,Mặt tiền: 15m,Hướng: Đông nam,Đất nền dự án
33 Tỷ,440 m²,"Phường Mỹ An, Quận Ngũ Hành Sơn",Đường vào: Rộng 7.5m,Mặt tiền: 17.5m,Hướng: Đông,Đất nền dự án
8.5 Tỷ,100 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 27m,Mặt tiền: 5m,Hướng: Đông,Đất nền dự án
1.34 Tỷ,216 m²,"Phường Hòa Quý, Quận Ngũ Hành Sơn",Đường vào: Rộng 7.5m,Mặt tiền: 9m,Hướng: Nam,Đất nền dự án
2.55 Tỷ,96 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 7.5m,Mặt tiền: 6m,NaN,Đất nền dự án
4.05 Tỷ,180 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 7.5m,Mặt tiền: 7.5m,NaN,Đất nền dự án
2.45 Tỷ,96 m²,"Phường Hòa Quý, Quận Ngũ Hành Sơn",Đường vào: Rộng 7.5m,Mặt tiền: 6m,Hướng: Đông nam,Đất nền dự án
2.4 Tỷ,96 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 7.5m,Mặt tiền: 6m,NaN,Đất nền dự án
2.7 Tỷ,144 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 7.5m,Mặt tiền: 6m,NaN,Đất nền dự án
2.45 Tỷ,96 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 7.5m,Mặt tiền: 6m,Hướng: Đông nam,Đất nền dự án
2.4 Tỷ,96 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 7.5m,Mặt tiền: 6m,NaN,Đất nền dự án
10.8 Tỷ,240 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 50m,Mặt tiền: 12m,NaN,Đất nền dự án
2.45 Tỷ,96 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 7.5m,Mặt tiền: 6m,Hướng: Đông nam,Đất nền dự án
2.45 Tỷ,98 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 7.5m,Mặt tiền: 6m,NaN,Đất nền dự án
2.45 Tỷ,96 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 7.5m,Mặt tiền: 6m,NaN,Đất nền dự án
15.5 Tỷ,527 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 7.5m,NaN,NaN,Đất nền dự án
2.35 Tỷ,96 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 7.5m,Mặt tiền: 6m,NaN,Đất nền dự án
2.43 Tỷ,98 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 7.5m,Mặt tiền: 6m,Hướng: Đông nam,Đất nền dự án
2.55 Tỷ,114 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 7.5m,Mặt tiền: 6m,NaN,Đất nền dự án
